⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ TPD1019:00 093A:0255 Touchpad           	id=11	[slave  pointer  (2)]
⎜   ↳ SZ PING-IT INC.  [T605] Driver Inside Tablet Mouse	id=15	[slave  pointer  (2)]
⎜   ↳ SZ PING-IT INC.  [T605] Driver Inside Tablet Consumer Control	id=16	[slave  pointer  (2)]
⎜   ↳ SZ PING-IT INC.  [T605] Driver Inside Tablet Pen (0)	id=19	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Video Bus                               	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ Sleep Button                            	id=8	[slave  keyboard (3)]
    ↳ USB 2M Camera: USB 2M Camera            	id=9	[slave  keyboard (3)]
    ↳ C-Media Electronics Inc. USB Advanced Audio Device	id=10	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=12	[slave  keyboard (3)]
    ↳ SZ PING-IT INC.  [T605] Driver Inside Tablet Keyboard	id=13	[slave  keyboard (3)]
    ↳ SZ PING-IT INC.  [T605] Driver Inside Tablet	id=14	[slave  keyboard (3)]
    ↳ SZ PING-IT INC.  [T605] Driver Inside Tablet Consumer Control	id=17	[slave  keyboard (3)]
    ↳ SZ PING-IT INC.  [T605] Driver Inside Tablet	id=18	[slave  keyboard (3)]
