⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Logitech G502 HERO Gaming Mouse         	id=9	[slave  pointer  (2)]
⎜   ↳ Logitech G502 HERO Gaming Mouse Keyboard	id=10	[slave  pointer  (2)]
⎜   ↳ HANVON UGEE Artist Pro 16 Mouse         	id=11	[slave  pointer  (2)]
⎜   ↳ HANVON UGEE Artist Pro 16 stylus        	id=13	[slave  pointer  (2)]
⎜   ↳ HANVON UGEE Artist Pro 16 eraser        	id=17	[slave  pointer  (2)]
⎜   ↳ XP-PEN STYLUS stylus                    	id=18	[slave  pointer  (2)]
⎜   ↳ XP-PEN STYLUS eraser                    	id=19	[slave  pointer  (2)]
⎜   ↳ XP-PEN ERASER eraser                    	id=20	[slave  pointer  (2)]
⎜   ↳ XP-PEN ERASER touch                     	id=21	[slave  pointer  (2)]
⎜   ↳ XP-PEN MOUSE                            	id=22	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ HID 046a:0011                           	id=8	[slave  keyboard (3)]
    ↳ HANVON UGEE Artist Pro 16 Keyboard      	id=12	[slave  keyboard (3)]
    ↳ GN Netcom A/S Jabra PRO 930             	id=14	[slave  keyboard (3)]
    ↳ GN Netcom A/S Jabra PRO 930 Consumer Control	id=15	[slave  keyboard (3)]
    ↳ Logitech G502 HERO Gaming Mouse Keyboard	id=16	[slave  keyboard (3)]
