⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ SYNA310D:00 06CB:CEA4 Mouse             	id=9	[slave  pointer  (2)]
⎜   ↳ SYNA310D:00 06CB:CEA4 Touchpad          	id=10	[slave  pointer  (2)]
⎜   ↳ Wacom HID 49FC Pen stylus               	id=11	[slave  pointer  (2)]
⎜   ↳ Wacom HID 49FC Finger touch             	id=12	[slave  pointer  (2)]
⎜   ↳ Wacom HID 49FC Pen eraser               	id=17	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Video Bus                               	id=7	[slave  keyboard (3)]
    ↳ Sleep Button                            	id=8	[slave  keyboard (3)]
    ↳ Intel HID events                        	id=13	[slave  keyboard (3)]
    ↳ Intel HID 5 button array                	id=14	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=15	[slave  keyboard (3)]
    ↳ HP WMI hotkeys                          	id=16	[slave  keyboard (3)]
    ↳ HP Active Pen G3 Keyboard               	id=18	[slave  keyboard (3)]
