⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ ELAN1200:00 04F3:303E Mouse             	id=16	[slave  pointer  (2)]
⎜   ↳ ELAN1200:00 04F3:303E Touchpad          	id=17	[slave  pointer  (2)]
⎜   ↳ Telink Wireless Receiver Consumer Control	id=12	[slave  pointer  (2)]
⎜   ↳ Telink Wireless Receiver Mouse          	id=20	[slave  pointer  (2)]
⎜   ↳ Wacom One by Wacom S Pen stylus         	id=21	[slave  pointer  (2)]
⎜   ↳ Wacom One by Wacom S Pen eraser         	id=22	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Asus Wireless Radio Control             	id=7	[slave  keyboard (3)]
    ↳ Video Bus                               	id=8	[slave  keyboard (3)]
    ↳ Video Bus                               	id=9	[slave  keyboard (3)]
    ↳ Power Button                            	id=10	[slave  keyboard (3)]
    ↳ Sleep Button                            	id=11	[slave  keyboard (3)]
    ↳ USB2.0 HD UVC WebCam: USB2.0 HD         	id=15	[slave  keyboard (3)]
    ↳ Asus WMI hotkeys                        	id=18	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=19	[slave  keyboard (3)]
    ↳ Telink Wireless Receiver Consumer Control	id=13	[slave  keyboard (3)]
    ↳ Telink Wireless Receiver System Control 	id=14	[slave  keyboard (3)]
