⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Logitech Wireless Keyboard PID:4075     	id=9	[slave  pointer  (2)]
⎜   ↳ Logitech Wireless Mouse                 	id=10	[slave  pointer  (2)]
⎜   ↳ Wacom HID 52EE Pen stylus               	id=14	[slave  pointer  (2)]
⎜   ↳ Wacom HID 52EE Finger touch             	id=15	[slave  pointer  (2)]
⎜   ↳ GXTP5100:00 27C6:01E0 Mouse             	id=16	[slave  pointer  (2)]
⎜   ↳ GXTP5100:00 27C6:01E0 Touchpad          	id=17	[slave  pointer  (2)]
⎜   ↳ TPPS/2 Elan TrackPoint                  	id=20	[slave  pointer  (2)]
⎜   ↳ Wacom HID 52EE Pen eraser               	id=23	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Video Bus                               	id=7	[slave  keyboard (3)]
    ↳ Sleep Button                            	id=8	[slave  keyboard (3)]
    ↳ Integrated Camera: Integrated C         	id=11	[slave  keyboard (3)]
    ↳ Integrated Camera: Integrated I         	id=12	[slave  keyboard (3)]
    ↳ Integrated 5M Camera: Integrate         	id=13	[slave  keyboard (3)]
    ↳ Intel HID events                        	id=18	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=19	[slave  keyboard (3)]
    ↳ ThinkPad Extra Buttons                  	id=21	[slave  keyboard (3)]
    ↳ Logitech Wireless Keyboard PID:4075     	id=22	[slave  keyboard (3)]
