⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ ckb1: Corsair Gaming K70 LUX RGB Keyboard vM	id=14	[slave  pointer  (2)]
⎜   ↳ HUION Huion Tablet Pad pad              	id=15	[slave  pointer  (2)]
⎜   ↳ HUION Huion Tablet stylus               	id=16	[slave  pointer  (2)]
⎜   ↳ HUION Huion Tablet Touch Ring pad       	id=17	[slave  pointer  (2)]
⎜   ↳ Logitech USB-PS/2 Optical Mouse         	id=8	[slave  pointer  (2)]
⎜   ↳ Corsair Corsair Gaming K70 LUX RGB Keyboard  Consumer Control	id=10	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ UVC Camera (046d:081b)                  	id=9	[slave  keyboard (3)]
    ↳ ckb1: Corsair Gaming K70 LUX RGB Keyboard vKB	id=13	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ Corsair Corsair Gaming K70 LUX RGB Keyboard  Consumer Control	id=11	[slave  keyboard (3)]
    ↳ Corsair Corsair Gaming K70 LUX RGB Keyboard  Keyboard	id=12	[slave  keyboard (3)]
