⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Gaming Mouse                            	id=10	[slave  pointer  (2)]
⎜   ↳ Gaming Mouse Keyboard                   	id=11	[slave  pointer  (2)]
⎜   ↳ BY Tech Usb Gaming Keyboard Consumer Control	id=14	[slave  pointer  (2)]
⎜   ↳ BY Tech Usb Gaming Keyboard Mouse       	id=18	[slave  pointer  (2)]
⎜   ↳ GAOMON Gaomon Tablet Touch Strip pad    	id=20	[slave  pointer  (2)]
⎜   ↳ GAOMON Gaomon Tablet Pad pad            	id=21	[slave  pointer  (2)]
⎜   ↳ GAOMON Gaomon Tablet Dial pad           	id=22	[slave  pointer  (2)]
⎜   ↳ GAOMON Gaomon Tablet stylus             	id=23	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Video Bus                               	id=7	[slave  keyboard (3)]
    ↳ Video Bus                               	id=8	[slave  keyboard (3)]
    ↳ Power Button                            	id=9	[slave  keyboard (3)]
    ↳ Gaming Mouse Keyboard                   	id=12	[slave  keyboard (3)]
    ↳ BY Tech Usb Gaming Keyboard             	id=13	[slave  keyboard (3)]
    ↳ BY Tech Usb Gaming Keyboard Consumer Control	id=15	[slave  keyboard (3)]
    ↳ BY Tech Usb Gaming Keyboard             	id=16	[slave  keyboard (3)]
    ↳ BY Tech Usb Gaming Keyboard System Control	id=17	[slave  keyboard (3)]
    ↳ C-Media Electronics Inc. USB Audio Device	id=19	[slave  keyboard (3)]
