⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Kingston HyperX Alloy Origins Mouse     	id=10	[slave  pointer  (2)]
⎜   ↳ Kingston HyperX Alloy Origins Consumer Control	id=12	[slave  pointer  (2)]
⎜   ↳ HUION Huion Tablet stylus               	id=14	[slave  pointer  (2)]
⎜   ↳ HUION Huion Tablet Pad pad              	id=15	[slave  pointer  (2)]
⎜   ↳ HUION Huion Tablet Touch Strip pad      	id=16	[slave  pointer  (2)]
⎜   ↳ Logitech M315/M235                      	id=17	[slave  pointer  (2)]
⎜   ↳ ELAN2514:00 04F3:29D2                   	id=18	[slave  pointer  (2)]
⎜   ↳ ELAN2514:00 04F3:29D2 Stylus stylus     	id=19	[slave  pointer  (2)]
⎜   ↳ SYNA3290:01 06CB:CD4F Mouse             	id=20	[slave  pointer  (2)]
⎜   ↳ SYNA3290:01 06CB:CD4F Touchpad          	id=21	[slave  pointer  (2)]
⎜   ↳ ELAN2514:00 04F3:29D2 Stylus eraser     	id=26	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Video Bus                               	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ HP Wide Vision HD Camera: HP Wi         	id=8	[slave  keyboard (3)]
    ↳ Kingston HyperX Alloy Origins           	id=9	[slave  keyboard (3)]
    ↳ Kingston HyperX Alloy Origins System Control	id=11	[slave  keyboard (3)]
    ↳ Kingston HyperX Alloy Origins           	id=13	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=22	[slave  keyboard (3)]
    ↳ HP WMI hotkeys                          	id=23	[slave  keyboard (3)]
    ↳ Wireless hotkeys                        	id=24	[slave  keyboard (3)]
    ↳ Kingston HyperX Alloy Origins Consumer Control	id=25	[slave  keyboard (3)]
