⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ SEM USB Keyboard                        	id=9	[slave  pointer  (2)]
⎜   ↳ Wacom USB Bamboo PAD Finger touch       	id=10	[slave  pointer  (2)]
⎜   ↳ Wacom USB Bamboo PAD Pen stylus         	id=11	[slave  pointer  (2)]
⎜   ↳ USB Optical Wheel Mouse                 	id=14	[slave  pointer  (2)]
⎜   ↳ Wacom USB Bamboo PAD Pen eraser         	id=13	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ SEM USB Keyboard                        	id=8	[slave  keyboard (3)]
    ↳ SEM USB Keyboard                        	id=12	[slave  keyboard (3)]
