⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Logitech USB-PS/2 Optical Mouse         	id=9	[slave  pointer  (2)]
⎜   ↳ Logitech Logitech Illuminated Keyboard Consumer Control	id=12	[slave  pointer  (2)]
⎜   ↳ Logitech Wireless Mouse                 	id=13	[slave  pointer  (2)]
⎜   ↳ Wacom One Pen Display 13 Pen stylus     	id=14	[slave  pointer  (2)]
⎜   ↳ Wacom One Pen Display 13 Pen eraser     	id=17	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ UVC Camera (046d:0809)                  	id=8	[slave  keyboard (3)]
    ↳ Yubico YubiKey OTP+FIDO+CCID            	id=10	[slave  keyboard (3)]
    ↳ Logitech Logitech Illuminated Keyboard  	id=11	[slave  keyboard (3)]
    ↳ Eee PC WMI hotkeys                      	id=15	[slave  keyboard (3)]
    ↳ Logitech Logitech Illuminated Keyboard Consumer Control	id=16	[slave  keyboard (3)]
