⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ UNIW0001:00 093A:0255 Mouse             	id=16	[slave  pointer  (2)]
⎜   ↳ UNIW0001:00 093A:0255 Touchpad          	id=17	[slave  pointer  (2)]
⎜   ↳ Tablet Monitor Dial                     	id=10	[slave  pointer  (2)]
⎜   ↳ Tablet Monitor stylus                   	id=12	[slave  pointer  (2)]
⎜   ↳ Tablet Monitor Pad pad                  	id=13	[slave  pointer  (2)]
⎜   ↳ Tablet Monitor Touch Strip pad          	id=20	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Video Bus                               	id=6	[slave  keyboard (3)]
    ↳ Video Bus                               	id=7	[slave  keyboard (3)]
    ↳ Power Button                            	id=8	[slave  keyboard (3)]
    ↳ Sleep Button                            	id=9	[slave  keyboard (3)]
    ↳ HD Webcam: HD Webcam                    	id=14	[slave  keyboard (3)]
    ↳ HD Webcam: IR Camera                    	id=15	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=18	[slave  keyboard (3)]
    ↳ TUXEDO Keyboard                         	id=19	[slave  keyboard (3)]
    ↳ Tablet Monitor Dial                     	id=11	[slave  keyboard (3)]
