⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ HUION Huion tablet_Q620M Pad pad        	id=8	[slave  pointer  (2)]
⎜   ↳ HUION Huion tablet_Q620M Pen stylus     	id=9	[slave  pointer  (2)]
⎜   ↳ HUION Huion tablet_Q620M touch          	id=11	[slave  pointer  (2)]
⎜   ↳ Logitech Logitech Illuminated Keyboard Consumer Control	id=15	[slave  pointer  (2)]
⎜   ↳ Logitech USB Receiver                   	id=16	[slave  pointer  (2)]
⎜   ↳ Logitech USB Receiver Consumer Control  	id=17	[slave  pointer  (2)]
⎜   ↳ HUION Huion tablet_Q620M pad            	id=19	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ HUION Huion tablet_Q620M Keyboard       	id=10	[slave  keyboard (3)]
    ↳ Logitech Z-10 LCD Menu Keys             	id=12	[slave  keyboard (3)]
    ↳ Logitech Z-10 USB Speaker               	id=13	[slave  keyboard (3)]
    ↳ Logitech Logitech Illuminated Keyboard  	id=14	[slave  keyboard (3)]
    ↳ Eee PC WMI hotkeys                      	id=18	[slave  keyboard (3)]
    ↳ Logitech Logitech Illuminated Keyboard Consumer Control	id=20	[slave  keyboard (3)]
    ↳ Logitech USB Receiver Consumer Control  	id=21	[slave  keyboard (3)]
