⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ DLL07BE:01 06CB:7A13 Touchpad           	id=16	[slave  pointer  (2)]
⎜   ↳ Logitech M325                           	id=11	[slave  pointer  (2)]
⎜   ↳ Logitech MX Keys                        	id=13	[slave  pointer  (2)]
⎜   ↳ DLL07BE:01 06CB:7A13 Mouse              	id=15	[slave  pointer  (2)]
⎜   ↳ Logitech MX Keys                        	id=12	[slave  pointer  (2)]
⎜   ↳ UGTABLET 11.6 inch PenDisplay Keyboard  	id=23	[slave  pointer  (2)]
⎜   ↳ UGTABLET 11.6 inch PenDisplay Mouse     	id=25	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=20	[slave  keyboard (3)]
    ↳ Logitech MX Keys                        	id=22	[slave  keyboard (3)]
    ↳ Dell WMI hotkeys                        	id=19	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Video Bus                               	id=7	[slave  keyboard (3)]
    ↳ Sleep Button                            	id=10	[slave  keyboard (3)]
    ↳ Power Button                            	id=9	[slave  keyboard (3)]
    ↳ Video Bus                               	id=8	[slave  keyboard (3)]
    ↳ Intel HID events                        	id=17	[slave  keyboard (3)]
    ↳ Intel HID 5 button array                	id=18	[slave  keyboard (3)]
    ↳ Integrated_Webcam_HD: Integrate         	id=14	[slave  keyboard (3)]
    ↳ Logitech MX Keys                        	id=21	[slave  keyboard (3)]
    ↳ UGTABLET 11.6 inch PenDisplay           	id=24	[slave  keyboard (3)]
