⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Wacom HID 496C Pen stylus               	id=14	[slave  pointer  (2)]
⎜   ↳ Wacom HID 496C Pen eraser               	id=21	[slave  pointer  (2)]
⎜   ↳ SYNA30B2:01 06CB:CE07 Mouse             	id=12	[slave  pointer  (2)]
⎜   ↳ Wacom HID 496C Finger touch             	id=15	[slave  pointer  (2)]
⎜   ↳ SYNA30B2:01 06CB:CE07 Touchpad          	id=13	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Intel HID events                        	id=16	[slave  keyboard (3)]
    ↳ HP WMI hotkeys                          	id=20	[slave  keyboard (3)]
    ↳ Video Bus                               	id=7	[slave  keyboard (3)]
    ↳ Intel HID 5 button array                	id=17	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=18	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=8	[slave  keyboard (3)]
    ↳ HP HD Camera: HP HD Camera              	id=10	[slave  keyboard (3)]
    ↳ HP Wireless hotkeys                     	id=19	[slave  keyboard (3)]
    ↳ Sleep Button                            	id=9	[slave  keyboard (3)]
    ↳ HP HD Camera: HP IR Camera              	id=11	[slave  keyboard (3)]
