⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Wacom HID 48ED Pen stylus               	id=15	[slave  pointer  (2)]
⎜   ↳ Wacom HID 48ED Finger touch             	id=16	[slave  pointer  (2)]
⎜   ↳ 00304238304C4C44:00 06CB:CD7A Mouse     	id=17	[slave  pointer  (2)]
⎜   ↳ 00304238304C4C44:00 06CB:CD7A Touchpad  	id=18	[slave  pointer  (2)]
⎜   ↳ PS/2 Synaptics TouchPad                 	id=22	[slave  pointer  (2)]
⎜   ↳ Wacom HID 48ED Pen eraser               	id=24	[slave  pointer  (2)]
⎜   ↳ Logitech M185                           	id=14	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Video Bus                               	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ Sleep Button                            	id=8	[slave  keyboard (3)]
    ↳ Intel HID events                        	id=19	[slave  keyboard (3)]
    ↳ Dell WMI hotkeys                        	id=20	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=21	[slave  keyboard (3)]
    ↳ USB PnP Device(Echo-058)                	id=12	[slave  keyboard (3)]
    ↳ HD Pro Webcam C920                      	id=13	[slave  keyboard (3)]
    ↳ Logitech M185                           	id=23	[slave  keyboard (3)]
