⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Logitech MX Master                      	id=9	[slave  pointer  (2)]
⎜   ↳ Logitech MX Keys                        	id=10	[slave  pointer  (2)]
⎜   ↳ HUION Huion Tablet stylus               	id=12	[slave  pointer  (2)]
⎜   ↳ HUION Huion Tablet Touch Strip pad      	id=13	[slave  pointer  (2)]
⎜   ↳ HUION Huion Tablet Pad pad              	id=14	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ Sleep Button                            	id=8	[slave  keyboard (3)]
    ↳ ov519                                   	id=11	[slave  keyboard (3)]
    ↳ Logitech MX Master                      	id=15	[slave  keyboard (3)]
    ↳ Logitech MX Keys                        	id=16	[slave  keyboard (3)]
