⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Kingston HyperX Alloy FPS Mechanical Gaming Keyboard Mouse	id=10	[slave  pointer  (2)]
⎜   ↳ Kingston HyperX Alloy FPS Mechanical Gaming Keyboard Consumer Control	id=12	[slave  pointer  (2)]
⎜   ↳ Logitech G203 Prodigy Gaming Mouse      	id=14	[slave  pointer  (2)]
⎜   ↳ Logitech G203 Prodigy Gaming Mouse Keyboard	id=15	[slave  pointer  (2)]
⎜   ↳ Wacom Intuos Pro L Pen stylus           	id=18	[slave  pointer  (2)]
⎜   ↳ Wacom Intuos Pro L Pen eraser           	id=19	[slave  pointer  (2)]
⎜   ↳ Wacom Intuos Pro L Pen cursor           	id=20	[slave  pointer  (2)]
⎜   ↳ Wacom Intuos Pro L Pad pad              	id=21	[slave  pointer  (2)]
⎜   ↳ Wacom Intuos Pro L Finger touch         	id=22	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ Sleep Button                            	id=8	[slave  keyboard (3)]
    ↳ Kingston HyperX Alloy FPS Mechanical Gaming Keyboard	id=9	[slave  keyboard (3)]
    ↳ Kingston HyperX Alloy FPS Mechanical Gaming Keyboard System Control	id=11	[slave  keyboard (3)]
    ↳ Kingston HyperX Alloy FPS Mechanical Gaming Keyboard	id=13	[slave  keyboard (3)]
    ↳ Kingston HyperX Alloy FPS Mechanical Gaming Keyboard Consumer Control	id=16	[slave  keyboard (3)]
    ↳ Logitech G203 Prodigy Gaming Mouse Keyboard	id=17	[slave  keyboard (3)]
