⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ NXP Semiconductors LPC I2C HID  Consumer Control	id=13	[slave  pointer  (2)]
⎜   ↳ NXP Semiconductors LPC I2C HID  Mouse   	id=14	[slave  pointer  (2)]
⎜   ↳ ATML1000:00 03EB:8ABB                   	id=18	[slave  pointer  (2)]
⎜   ↳ Wacom HID 16C Pen stylus                	id=20	[slave  pointer  (2)]
⎜   ↳ Wacom HID 16C Pen eraser                	id=27	[slave  pointer  (2)]
⎜   ↳ G603 Mouse                              	id=28	[slave  pointer  (2)]
⎜   ↳ G603 Keyboard                           	id=29	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Video Bus                               	id=7	[slave  keyboard (3)]
    ↳ Video Bus                               	id=8	[slave  keyboard (3)]
    ↳ Power Button                            	id=9	[slave  keyboard (3)]
    ↳ Sleep Button                            	id=10	[slave  keyboard (3)]
    ↳ NXP Semiconductors LPC I2C HID          	id=11	[slave  keyboard (3)]
    ↳ NXP Semiconductors LPC I2C HID  System Control	id=12	[slave  keyboard (3)]
    ↳ ATML1000:00 03EB:8ABB UNKNOWN           	id=19	[slave  keyboard (3)]
    ↳ Intel Virtual Buttons                   	id=21	[slave  keyboard (3)]
    ↳ Intel HID events                        	id=22	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=23	[slave  keyboard (3)]
    ↳ Wireless hotkeys                        	id=24	[slave  keyboard (3)]
    ↳ HP WMI hotkeys                          	id=25	[slave  keyboard (3)]
    ↳ NXP Semiconductors LPC I2C HID  Consumer Control	id=26	[slave  keyboard (3)]
    ↳ HP HD Camera: HP IR Camera              	id=16	[slave  keyboard (3)]
    ↳ HP HD Camera: HP HD Camera              	id=15	[slave  keyboard (3)]
    ↳ HP 8MP Camera: HP 8MP Camera            	id=17	[slave  keyboard (3)]
    ↳ G603 Keyboard                           	id=30	[slave  keyboard (3)]
