⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ Adomax USB/PS2 Scroll Mouse             	id=13	[slave  pointer  (2)]
⎜   ↳ Generic USB K/B Mouse                   	id=16	[slave  pointer  (2)]
⎜   ↳ GAOMON Gaomon Tablet Pad pad            	id=8	[slave  pointer  (2)]
⎜   ↳ GAOMON Gaomon Tablet Dial               	id=10	[slave  pointer  (2)]
⎜   ↳ GAOMON Gaomon Tablet stylus             	id=12	[slave  pointer  (2)]
⎜   ↳ GAOMON Gaomon Tablet Touch Strip pad    	id=19	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Power Button                            	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ Integrated Camera: Integrated C         	id=14	[slave  keyboard (3)]
    ↳ Generic USB K/B                         	id=15	[slave  keyboard (3)]
    ↳ Generic USB K/B System Control          	id=17	[slave  keyboard (3)]
    ↳ CHICONY HP Basic USB Keyboard           	id=18	[slave  keyboard (3)]
    ↳ GAOMON Gaomon Tablet Keyboard           	id=9	[slave  keyboard (3)]
    ↳ GAOMON Gaomon Tablet Dial               	id=11	[slave  keyboard (3)]
