⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ MOSART Semi. 2.4G INPUT DEVICE Mouse    	id=9	[slave  pointer  (2)]
⎜   ↳ MOSART Semi. 2.4G INPUT DEVICE Consumer Control	id=10	[slave  pointer  (2)]
⎜   ↳ ELAN2514:00 04F3:23B9                   	id=13	[slave  pointer  (2)]
⎜   ↳ SYNA328F:01 06CB:CD50 Mouse             	id=15	[slave  pointer  (2)]
⎜   ↳ SYNA328F:01 06CB:CD50 Touchpad          	id=16	[slave  pointer  (2)]
⎜   ↳ HP Tilt Pen Mouse                       	id=22	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ Video Bus                               	id=6	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
    ↳ MOSART Semi. 2.4G INPUT DEVICE          	id=8	[slave  keyboard (3)]
    ↳ MOSART Semi. 2.4G INPUT DEVICE System Control	id=11	[slave  keyboard (3)]
    ↳ HP Wide Vision HD Camera: HP Wi         	id=12	[slave  keyboard (3)]
    ↳ ELAN2514:00 04F3:23B9 Stylus            	id=14	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=17	[slave  keyboard (3)]
    ↳ Wireless hotkeys                        	id=18	[slave  keyboard (3)]
    ↳ HP WMI hotkeys                          	id=19	[slave  keyboard (3)]
    ↳ MOSART Semi. 2.4G INPUT DEVICE Consumer Control	id=20	[slave  keyboard (3)]
    ↳ HP Tilt Pen Keyboard                    	id=21	[slave  keyboard (3)]
