⎡ Virtual core pointer                    	id=2	[master pointer  (3)]
⎜   ↳ Virtual core XTEST pointer              	id=4	[slave  pointer  (2)]
⎜   ↳ ELAN06FA:00 04F3:327E Mouse             	id=10	[slave  pointer  (2)]
⎜   ↳ Wacom HID 5360 Pen stylus               	id=12	[slave  pointer  (2)]
⎜   ↳ Wacom HID 5360 Pen eraser               	id=15	[slave  pointer  (2)]
⎜   ↳ ELAN06FA:00 04F3:327E Touchpad          	id=11	[slave  pointer  (2)]
⎜   ↳ Wacom HID 5360 Finger touch             	id=13	[slave  pointer  (2)]
⎜   ↳ RAPOO BleMouse                          	id=16	[slave  pointer  (2)]
⎣ Virtual core keyboard                   	id=3	[master keyboard (2)]
    ↳ Virtual core XTEST keyboard             	id=5	[slave  keyboard (3)]
    ↳ HD-Audio Generic Headphone              	id=8	[slave  keyboard (3)]
    ↳ AT Translated Set 2 keyboard            	id=14	[slave  keyboard (3)]
    ↳ Video Bus                               	id=6	[slave  keyboard (3)]
    ↳ Ideapad extra buttons                   	id=9	[slave  keyboard (3)]
    ↳ Power Button                            	id=7	[slave  keyboard (3)]
